SSID,BSSID,PHY,CHANNEL,FREQUENCY,RSSI(dBm),SNR(dB)
my-home:),f8:aa:3f:6d:02:b6,802.11b,9,2452,-43,43
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-88,-2
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-87,-1
my-home:),f8:aa:3f:6d:02:b6,802.11b,9,2452,-43,43
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-88,-2
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-87,-1
my-home:),f8:aa:3f:6d:02:b6,802.11b,9,2452,-43,43
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-89,-3
Clandestino,14:09:b4:d1:be:17,802.11b,9,2452,-65,21
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-89,-3
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-89,-3
my-home:),f8:aa:3f:6d:02:b6,802.11b,9,2452,-46,40
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-90,-4
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-87,-1
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-90,-4
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-88,-2
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-90,-4
my-home:),f8:aa:3f:6d:02:b6,802.11b,9,2452,-45,41
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-89,-3
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-89,-3
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-89,-3
Clandestino,14:09:b4:d1:be:17,802.11b,9,2452,-60,26
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-87,-1
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-86,0
Nova_2.4G_5ueKS7s,fc:40:09:dc:40:1d,802.11b,9,2452,-90,-3
my-home:),f8:aa:3f:6d:02:b6,802.11b,9,2452,-43,44
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-87,0
Nova_2.4G_5ueKS7s,fc:40:09:dc:40:1d,802.11b,9,2452,0,87
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-90,-3
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-90,-3
my-home:),f8:aa:3f:6d:02:b6,802.11b,9,2452,-44,43
Miss Beauty,c0:94:ad:6f:66:30,802.11b,9,2452,-88,-1
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-91,-4
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-89,-2
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-89,-2
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-88,-1
my-home:),f8:aa:3f:6d:02:b6,802.11b,9,2452,-44,43
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,0,87
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-89,-2
Nova_2.4G_5ueKS7s,fc:40:09:dc:40:1d,802.11b,9,2452,-91,-4
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-88,-1
Clandestino,14:09:b4:d1:be:17,802.11b,9,2452,-60,27
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-89,-2
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-90,-3
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-89,-2
my-home:),f8:aa:3f:6d:02:b6,802.11b,9,2452,-44,43
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-89,-2
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-89,-2
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-88,-1
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-89,-2
my-home:),f8:aa:3f:6d:02:b6,802.11b,9,2452,-42,45
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-90,-3
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-88,-1
Nova_2.4G_5ueKS7s,fc:40:09:dc:40:1d,802.11b,9,2452,-92,-5
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-90,-3
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-90,-3
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-88,-1
my-home:),f8:aa:3f:6d:02:b6,802.11b,9,2452,-42,45
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-88,-1
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-89,-2
Nova_2.4G_5ueKS7s,fc:40:09:dc:40:1d,802.11b,9,2452,-90,-3
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-88,-1
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-90,-3
Miss Beauty,c0:94:ad:6f:66:30,802.11b,9,2452,-87,0
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-90,-3
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-88,-1
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-89,-2
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-90,-3
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-87,0
my-home:),f8:aa:3f:6d:02:b6,802.11b,9,2452,-42,45
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-89,-2
Nova_2.4G_5ueKS7s,fc:40:09:dc:40:1d,802.11b,9,2452,-90,-3
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-91,-4
my-home:),f8:aa:3f:6d:02:b6,802.11b,9,2452,-41,46
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-89,-2
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-89,-2
Nova_2.4G_5ueKS7s,fc:40:09:dc:40:1d,802.11b,9,2452,-91,-4
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-90,-3
my-home:),f8:aa:3f:6d:02:b6,802.11b,9,2452,-41,46
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-89,-2
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-88,-1
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-89,-2
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-87,0
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-88,-1
my-home:),f8:aa:3f:6d:02:b6,802.11b,9,2452,-41,46
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-89,-2
Clandestino,14:09:b4:d1:be:17,802.11b,9,2452,-59,28
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-91,-4
Miss Beauty,c0:94:ad:6f:66:30,802.11b,9,2452,-88,-1
my-home:),f8:aa:3f:6d:02:b6,802.11b,9,2452,-42,45
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-90,-3
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-87,0
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-88,-1
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-89,-2
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-90,-3
my-home:),f8:aa:3f:6d:02:b6,802.11b,9,2452,-42,45
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-89,-2
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-89,-2
my-home:),f8:aa:3f:6d:02:b6,802.11b,9,2452,-43,44
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-89,-2
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-86,3
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-88,1
my-home:),f8:aa:3f:6d:02:b6,802.11b,9,2452,0,89
Miss Beauty,c0:94:ad:6f:66:30,802.11b,9,2452,-88,1
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-88,1
Nova_2.4G_5ueKS7s,fc:40:09:dc:40:1d,802.11b,9,2452,-90,-1
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-89,0
Clandestino,14:09:b4:d1:be:17,802.11b,9,2452,-63,26
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-88,1
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-85,4
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-88,1
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-90,-1
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-86,3
Clandestino,14:09:b4:d1:be:17,802.11b,9,2452,-62,27
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-90,-1
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-86,3
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-89,0
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-90,-1
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-87,2
Nova_2.4G_5ueKS7s,fc:40:09:dc:40:1d,802.11b,9,2452,-91,-2
Clandestino,14:09:b4:d1:be:17,802.11b,9,2452,-63,26
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-88,1
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-86,3
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-90,-1
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-88,1
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-87,2
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-90,-1
Clandestino,14:09:b4:d1:be:17,802.11b,9,2452,-61,28
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-88,1
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-88,1
Nova_2.4G_5ueKS7s,fc:40:09:dc:40:1d,802.11b,9,2452,-90,-1
my-home:),f8:aa:3f:6d:02:b6,802.11b,9,2452,-44,45
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-90,-1
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-88,1
Nova_2.4G_5ueKS7s,fc:40:09:dc:40:1d,802.11b,9,2452,-91,-2
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-90,-1
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-87,2
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-90,-1
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-87,2
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-89,0
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-87,2
my-home:),f8:aa:3f:6d:02:b6,802.11b,9,2452,0,89
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-88,1
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-87,2
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-91,-2
Clandestino,14:09:b4:d1:be:17,802.11b,9,2452,-61,28
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-87,2
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-90,-1
Clandestino,14:09:b4:d1:be:17,802.11b,9,2452,-63,26
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-88,1
Nova_2.4G_5ueKS7s,fc:40:09:dc:40:1d,802.11b,9,2452,-90,-1
my-home:),f8:aa:3f:6d:02:b6,802.11b,9,2452,-44,45
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-89,0
Nova_2.4G_5ueKS7s,fc:40:09:dc:40:1d,802.11b,9,2452,-91,-2
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-91,-2
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-88,3
Nova_2.4G_5ueKS7s,fc:40:09:dc:40:1d,802.11b,9,2452,-91,0
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-90,1
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-86,5
Nova_2.4G_5ueKS7s,fc:40:09:dc:40:1d,802.11b,9,2452,-90,1
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-91,0
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-86,5
Nova_2.4G_KkAUEKh,28:77:77:e1:e5:b8,802.11b,9,2452,-91,0
Nova_2.4G_5ueKS7s,fc:40:09:dc:40:1d,802.11b,9,2452,-90,1
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-90,1
Erwfili,82:06:35:18:aa:92,802.11b,9,2452,-87,4
Nova_2.4G_5ueKS7s,fc:40:09:dc:40:1d,802.11b,9,2452,-90,1
Vodafone_2.4G-03558,c0:94:ad:6f:c7:a4,802.11b,9,2452,-90,1
Clandestino,14:09:b4:d1:be:17,802.11b,9,2452,-64,27
