,SSID,BSSID,PHY,CHANNEL,FREQUENCY,RSSI(dBm),SNR(dB)
0,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
1,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
2,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
3,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
4,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
5,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
6,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
7,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-72,
8,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
9,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
10,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-72,
11,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
12,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
13,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
14,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-76,
15,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
16,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-72,
17,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
18,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
19,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
20,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
21,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
22,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-76,
23,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
24,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
25,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
26,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-76,
27,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
28,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
29,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
30,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
31,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
32,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
33,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
34,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
35,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
36,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
37,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
38,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
39,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-72,
40,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-72,
41,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
42,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
43,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
44,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
45,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
46,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
47,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
48,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
49,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
50,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-76,
51,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
52,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
53,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
54,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
55,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
56,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
57,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
58,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
59,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-76,
60,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
61,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-72,
62,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
63,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
64,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
65,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
66,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
67,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
68,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
69,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
70,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
71,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
72,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
73,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-72,
